Origine	Destination	Valeur
12	4	325,635704
12	6	404,1549912
12	7	803,0386047
12	8	797,4955139
12	9	2777,773891
12	10	3368,54723
12	11	3993,902607
12	12	13304,31119
12	13	4000,02953
12	14	1908,362392
12	15	640,1674957
12	16	3108,255005
12	17	1252,409302
12	18	163,5437965
12	19	616,5056114
12	609	92,71399689
12	610	131,8988037
12	611	123,8882961
12	612	101,0450974
12	615	237,0250053
12	617	226,7449036
12	622	102,2284012
12	624	47,94210053
13	1	6906,614655
13	2	13802,80155
13	3	11445,32699
13	4	184,6443939
13	6	365,4097977
13	7	88,04270172
13	8	1895,684994
13	9	3354,692307
13	10	2509,865791
13	11	1987,330795
13	12	3650,493328
13	13	16884,11572
13	14	5355,796352
13	15	504,1421051
13	16	3109,7771
13	17	5293,731701
13	18	837,9057121
13	19	59,97769928
13	610	307,9693985
13	612	55,24349976
13	615	54,96929932
13	617	79,25959778
13	619	110,4228973
13	624	737,7641068
13	626	69,82830048
13	635	233,0072021
14	1	1221,093094
14	2	4538,766304
14	3	4197,423805
14	4	366,521698
14	5	120,457798
14	6	211,8409958
14	7	74,48169708
14	8	483,2137985
14	9	2083,267803
14	10	615,6023026
14	11	1320,807808
14	12	1306,202995
14	13	2585,313606
14	14	4761,607944
14	15	391,6578979
14	16	2898,100112
14	17	1978,08701
14	18	575,3457947
14	19	85,20429993
14	611	82,1292038
14	612	55,38290024
14	614	116,4688034
14	617	154,6926041
14	620	250,1242943
14	622	61,39379883
14	624	302,5081024
14	626	273,0032043
15	1	3078,620792
15	2	2718,916342
15	3	4184,507841
15	4	968,4981003
15	5	83,36399841
15	6	160,6638031
15	7	428,9002914
15	8	1380,334415
15	9	605,9804993
15	10	619,3680038
15	11	852,0890999
15	12	368,2424965
15	13	2305,719543
15	14	2100,632904
15	15	1732,700729
15	16	2617,410213
15	17	1420,71442
15	18	450,3671036
15	19	53,43730164
15	609	71,25980377
15	611	75,43840027
15	620	170,3470993
15	624	140,1542969
16	1	4524,400414
16	2	11152,40274
16	3	8812,316987
16	4	1357,079597
16	5	146,8093948
16	6	925,6544952
16	7	322,8563004
16	8	4355,344213
16	9	4514,757059
16	10	2705,865894
16	11	1565,201195
16	12	3380,173481
16	13	5455,051111
16	14	8779,528141
16	15	682,4226151
16	16	14426,5032
16	17	5646,05798
16	18	1582,434788
16	19	909,7071877
16	610	309,4479065
16	611	254,8428001
16	612	336,7262001
16	619	54,43119812
16	620	162,4537964
16	622	368,8967056
16	624	366,6459961
16	635	102,5820999
17	1	662,6038055
17	2	1720,053993
17	3	1563,0774
17	4	231,9203949
17	5	382,0513916
17	6	230,4129028
17	8	115,8716965
17	9	466,9615021
17	10	334,6811028
17	11	109,6357994
17	12	1086,570915
17	13	2541,869308
17	14	392,9024124
17	15	353,9476929
17	16	1253,329708
17	17	2291,74338
17	619	26,60860062
18	1	6874,726984
18	2	12386,77149
18	3	9023,293236
18	4	2598,666027
18	5	707,0585976
18	6	2332,058613
18	7	671,3622971
18	8	4438,785603
18	9	2414,236214
